dt,t_max,t_avg,t_min,d_max,d_avg,d_min,h_max,h_avg,h_min,ws_max,ws_avg,ws_min,p_max,p_avg,p_min,prec
2020-03-01,22,18.4,17,18,16.6,15,94,89.5,73,24,19.8,11,929.4,927.5,925.7,0.00
2020-03-02,23,18.7,17,18,16.5,15,94,87.4,69,30,18.1,11,927.5,926.5,925.7,0.00
2020-03-03,22,17.9,17,18,16.2,15,94,90.3,73,24,15.6,11,925.7,925.0,923.9,0.00
2020-03-04,24,18.2,16,17,15.3,14,94,84.5,57,22,10.0,2,926.6,924.8,923.9,0.00
2020-03-05,24,18.4,16,16,14.8,14,94,80.8,53,24,13.2,6,928.4,926.7,924.8,0.00
2020-03-06,23,18.4,16,16,14.3,12,88,78.4,50,24,14.5,7,927.5,926.2,924.8,0.00
2020-03-07,25,18.8,17,16,14.6,12,88,77.8,47,28,13.1,6,925.7,924.6,923.0,0.00
2020-03-08,26,19.3,17,18,15.8,14,88,80.7,54,24,10.5,6,927.5,925.0,923.0,0.00
2020-03-09,26,21.1,18,18,16.9,16,94,77.9,57,24,11.2,0,928.4,926.5,925.7,0.00
2020-03-10,29,22.8,19,19,17.0,15,88,71.3,42,26,14.0,4,928.4,926.6,924.8,0.00
2020-03-11,28,23.2,18,19,17.1,15,88,70.2,45,24,15.0,4,926.6,925.5,923.9,0.00
2020-03-12,28,21.7,18,18,16.8,16,88,74.9,48,22,11.2,6,927.5,926.2,924.8,0.00
2020-03-13,33,21.8,18,19,17.4,15,88,77.3,36,24,11.0,4,927.5,926.4,924.8,0.00
2020-03-14,30,22.6,19,20,17.7,16,88,75.3,45,22,11.2,6,928.4,926.7,925.7,0.00
2020-03-15,31,24.8,20,20,17.7,15,83,65.9,38,22,11.8,6,926.6,925.2,923.0,0.00
2020-03-16,30,25.0,22,20,17.5,16,78,63.9,48,22,12.4,6,925.7,924.3,922.1,0.00
2020-03-17,29,21.9,20,20,18.5,16,94,82.2,48,24,13.0,4,926.6,925.4,923.9,0.00
2020-03-18,30,23.0,20,21,18.7,17,88,77.8,45,20,8.1,2,926.6,924.5,922.1,0.00
